id,text,timestamp,decoration,citation,
242,,,,,
243,,,,,
244,no silence in a body its hollows,8/22/2016,,,
245,harbor data trauma data,8/22/2016,,,
246,,,,,
247,,,,,
248,N O R M A L R A N G E M A K E S M E,9/30/2016,,,
249,[ female / female / female ],9/30/2016,,,
250,,,,,
251,,,,,
252,[ insufficient / useful ] ladies,8/23/2016,,,
253,remain in doubt,8/23/2016,,,
254,,,,,
255,,,,,
256,imagine creating,6/20/2016,,,
257,a body not your own,6/20/2016,,,
258,,,,,
259,,,,,
260,this woman built a bot that tweets,6/21/2016,,,
261,gamergate buzzwords,6/21/2016,,,
262,,,,,
263,,,,,
264,guys are falling for it impossible,6/21/2016,,,
265,[ femmable / imfemmable ],6/21/2016,,,
266,,,,,
267,,,,,
268,she meaning curve cuneiform:,6/20/2016,,,
269,[ interpretess / middle / mouth ],6/20/2016,,,
270,,,,,
271,,,,,
272,did Ada even invent,8/23/2016,,,
273,programming,8/23/2016,,,
274,,,,,
275,,,,,
276,or was she just a genius',8/23/2016,,,
277,secretary,8/23/2016,,,
278,,,,,
279,,,,,
280,types of uncertainty [ authorial /,6/20/2016,,,
281,existential / female / medical ],6/20/2016,,,
282,,,,,
283,,,,,
284,self a selfless,5/22/2017,,,
285,self a shrinking,2/23/2017,,,
286,,,,,
287,,,,,
288,,,,,
289,,,,,
290,,,,,
291,,,,,
292,,,,,
293,,,,,
294,rank how often in the last two weeks,9/30/2016,,,
295,this phrase describes you,9/30/2016,,,
296,,,,,
297,,,,,
298,hormones rube,8/22/2016,,,
299,goldberging through you,8/22/2016,,,
300,,,,,
301,,,,,
302,you’ve been wearing the wrong,9/24/2016,,,
303,bra size T H I S W H O L E T I M E,9/24/2016,,,
304,,,,,
305,,,,,
306,body so much larger in photographs,9/30/2016,,,
307,seen not to seem myself,9/30/2016,,,
308,,,,,
309,,,,,
310,how to correct for invisibility,9/22/2016,,,
311,i don’t blame you i can’t see me either,9/22/2016,,,
312,,,,,
313,,,,,
314,self a phantom multitude,1/28/2017,,,
315,self a search query,5/22/2017,,,
316,,,,,
317,,,,,
318,,,,,
319,,,,,
320,,,,,
321,,,,,
322,,,,,
323,,,,,
324,i dreamt i was mapping,5/18/2015,,,
325,points of non-correspondence,5/18/2015,,,
326,,,,,
327,,,,,
328,I D R E A M T I B E C A M E,5/18/2015,,,
329,and no one believed me,5/18/2015,,,
330,,,,,
331,,,,,
332,how to fool your muscles,9/30/2016,,,
333,my dad taught me this trick,9/30/2016,,,
334,,,,,
335,,,,,
336,in a doorway i press the backs,9/30/2016,,,
337,of my hands against the frame,9/30/2016,,,
338,,,,,
339,,,,,
340,wait to let go until my arms,9/30/2016,,,
341,rise without me,9/30/2016,,,
342,,,,,
343,,,,,
344,like if i scroll away from my body too long,9/30/2016,,,
345,when i finally stop all bodies rush toward,9/30/2016,,,
346,,,,,
347,,,,,
348,how to fool your feelings,9/30/2016,,,
349,here come the floodgates again,10/26/2016,,,
350,,,,,
351,,,,,
352,more haptic illusions move like sidewalk,1/13/2017,,,
353,fighting flood to hold still,5/16/2017,,,
354,,,,,
355,,,,,
356,brown roiling around us [ father / brother / small,5/22/2017,,,
357,i ] white-tipped furious motionless,10/26/2015,,,
358,,,,,
359,,,,,
360,i press my body forward,10/26/2015,,,
361,as if the gesture wills the shore,5/21/2017,,,
362,,,,,
363,we slide downstream past where we started,12/6/2015,,,
364,before i return my paddle to the effort,10/26/2015,,,
365,,,,,
366,,,,,
