id,text,timestamp,decoration,citation,
1019,T H E V I S I B L E W O M A N,2/13/2017,,,
1020,model parts box my childhood bedroom,2/13/2017,,,
1021,,,,,
1022,,,,,
1023,her labels’ gatsby eyes clear,2/13/2017,,,
1024,pregnancy plastic appendage,2/13/2017,,,
1025,,,,,
1026,,,,,
1027,penetrate and make visible,2/13/2017,,,
1028,knowable and thereby manageable,2/13/2017,,,
1029,,,,,
1030,,,,,
1031,doubled [ over ] ultrasound,5/15/2017,,,
1032,turns touch,5/15/2017,,,
1033,,,,,
1034,,,,,
1035,into sound into image into,5/15/2017,,,
1036,data into [ self / diagnosis ],5/15/2017,,,
1037,,,,,
1038,,,,,
1039,image results yield textbook,1/26/2017,,,
1040,folksy procedures,1/26/2017,,,
1041,,,,,
1042,,,,,
1043,five hands a sharp knife in soft,1/26/2017,,,
1044,charcoal unhinge the pelvis,1/26/2017,,,
1045,,,,,
1046,,,,,
1047,he speaks only to ultrasound,1/26/2017,,,
1048,takes no notes must repeat procedure,1/26/2017,,,
1049,,,,,
1050,,,,,
1051,from ads you’d think VR headsets exclusively used,3/1/2017,,,
1052,by young women practicing self-defense,3/1/2017,,,
1053,,,,,
1054,,,,,
1055,Babylonians signed each algorithm,1/27/2017,,,
1056,this is the procedure,1/27/2017,,,
1057,,,,,
1058,,,,,
1059,your skin is how you keep everything in,10/22/2015,,,
1060,spandex organs outside singing muscle spleen,2/13/2017,,,
1061,,,,,
1062,,,,,
1063,small child demonstrates how to escape,4/7/2017,,,
1064,what gets measured gets managed,4/17/2017,,,
1065,,,,,
1066,,,,,
1067,as a family we try to remember,6/28/2016,,,
1068,the word for ambivalent: bivalve?,6/28/2016,,,
1069,,,,,
1070,,,,,
1071,everyone who enters gets a monitor,5/22/2017,,,
1072,record to prove who’s right,11/21/2016,,,
1073,,,,,
1074,,,,,
1075,let’s market whole family body cams,11/21/2016,,,
1076,npr fact checks our fights,11/21/2016,,,
1077,,,,,
1078,,,,,
1079,i am being collected,4/17/2017,,,
1080,pulling myself together,4/17/2017,,,
1081,,,,,
1082,,,,,
1083,know your body,4/30/2017,,,
1084,take control,4/30/2017,,,
1085,,,,,
1086,,,,,
1087,front brain snaps shut,1/28/2017,,,
1088,no service in this tunnel,2/27/2017,,,
1089,,,,,
1090,,,,,
1091,self a striatum,5/22/2017,,,
1092,self an event handler,5/1/2017,,,
1093,,,,,
1094,,,,,
1095,,,,,
1096,,,,,
1097,,,,,
1098,,,,,
1099,,,,,
1100,,,,,
1101,first data of morning is time then,1/16/2017,,,
1102,[ instagram / weather / weight / email,1/16/2017,,,
1103,,,,,
1104,,,,,
1105,/ everything ] processed,2/28/2017,,,
1106,in order received,2/28/2017,,,
1107,,,,,
1108,,,,,
1109,phone to tell me should i be hungry,5/22/2017,,,
1110,do my lines still curve in exponents of progress,9/2/2016,,,
1111,,,,,
1112,,,,,
1113,performing biopolitical conformity,9/21/2016,,,
1114,in my athleisure,9/21/2016,,,
1115,,,,,
1116,,,,,
1117,well-placed stripes,5/8/2017,,,
1118,lengthen the self,5/8/2017,,,
1119,,,,,
1120,,,,,
1121,0 l 0 l l 0 0 0 l l 0 l l l l 0 l l 0 l l 0 0 [ l o l ],9/30/2016,,,
1122,reads like abstraction,7/8/2016,,,
1123,,,,,
1124,,,,,
1125,enough distance to refer,10/12/2015,,,
1126,to myself as the self,10/12/2015,,,
1127,,,,,
1128,,,,,
1129,look how little i'm asphyxiating,10/9/2016,,,
1130,so obviously titrating toward the ideal,10/9/2016,,,
1131,,,,,
1132,,,,,
1133,how much did you lose,10/9/2016,,,
1134,in the version i prefer i am absent,10/9/2016,,,
1135,,,,,
1136,,,,,
1137,but a conduit [ poem,10/9/2016,,,
1138,pulled from pocket ],10/9/2016,,,
1139,,,,,
1140,,,,,
1141,self a recursion,5/22/2017,,,
1142,self a retort,5/22/2017,,,
1143,,,,,
1144,,,,,
1145,,,,,
1146,,,,,
1147,,,,,
1148,,,,,
1149,,,,,
1150,,,,,
1151,a part and alone:,8/23/2016,,,
1152,A P A R T A N G L E D,8/23/2016,,,
1153,,,,,
1154,,,,,
1155,giving text nearness we inhabit,5/22/2017,,,
1156,shared space cannot prevent,5/22/2017,,,
1157,,,,,
1158,,,,,
1159,too much feedback,11/15/2016,,,
1160,oscillating sustains,11/15/2016,,,
1161,,,,,
1162,,,,,
1163,this nearness an excess luminescent,11/15/2016,,,
1164,can it hold all there is to say,5/22/2017,,,
1165,,,,,
1166,,,,,
1167,i forgot but it’s on my hard drive,3/4/2017,,,
1168,revisions purged to optimize,5/22/2017,,,
1169,,,,,
1170,,,,,
1171,erase the partition,5/22/2017,,,
1172,cavitate tiny vacuums of infostress,8/22/2016,,,
1173,,,,,
1174,,,,,
1175,listen for [ joint pop,1/9/2017,,,
1176,/ product launch ],1/20/2017,,,
1177,,,,,
1178,,,,,
1179,do you consider yourself,12/29/2016,,,
1180,hyperlinked?,12/29/2016,,,
1181,,,,,
1182,,,,,
1183,form an empty space,1/6/2017,,,
1184,within a solid body,1/6/2017,,,
1185,,,,,
1186,,,,,
1187,just past the limit of what can be,1/12/2017,,,
1188,touched [ a cusp /,1/12/2017,,,
1189,,,,,
1190,,,,,
1191,gaze / grasp / reach,1/12/2017,,,
1192,/ grope ],1/12/2017,,,
1193,,,,,
1194,,,,,
1195,self a shimmer,2/19/2016,,,
1196,self a spark gap,11/17/2016,,,
1197,,,,,
1198,,,,,
1199,,,,,
1200,,,,,
1201,,,,,
1202,,,,,
1203,,,,,
1204,,,,,
1205,doubt knits into muscle knotted,8/7/2016,,,
1206,non-thought fibrillating,8/7/2016,,,
1207,,,,,
1208,,,,,
1209,T O W A N T S O H A R D,9/2/2016,,,
1210,T O B E D E S I R E L E S S,9/2/2016,,,
1211,,,,,
1212,,,,,
1213,twice a week i lie with biofeedback,9/2/2016,,,
1214,hand painted ceiling tiles demand,1/28/2017,,,
1215,,,,,
1216,,,,,
1217,[ imagine /,1/28/2017,,,
1218,breathe ],1/28/2017,,,
1219,,,,,
1220,,,,,
1221,costco-size pump bottle of lube,1/28/2017,,,
1222,latex gloves probe for a trigger,1/28/2017,,,
1223,,,,,
1224,,,,,
1225,try to [ solve / salve ],1/28/2017,,,
1226,pain like an algorithm,1/28/2017,,,
1227,,,,,
1228,,,,,
1229,bloodwork returns,8/22/2016,,,
1230,to normal when monitored,8/22/2016,,,
1231,,,,,
1232,,,,,
1233,rivermouth moves maps,9/24/2016,,,
1234,bits are any two-valued things,4/7/2017,,,
1235,,,,,
1236,,,,,
1237,immeasurable uncertainty unlocatable,5/22/2017,,,
1238,within existing systems i keep lying beneath,11/16/2016,,,
1239,,,,,
1240,,,,,
1241,[ false pelvis / a warm,1/27/2017,,,
1242,wet blanket ] soothing vibrations,11/16/2016,,,
1243,,,,,
1244,,,,,
1245,electrify my groups,11/16/2016,,,
1246,i am moving without myself,11/16/2016,,,
1247,,,,,
1248,,,,,
1249,self a relation database,3/3/2016,,,
1250,self a sticker peeled off skin,11/16/2016,,,
1251,,,,,
1252,,,,,
1253,,,,,
1254,,,,,
1255,,,,,
1256,,,,,
1257,,,,,
1258,,,,,
1259,internet of,2/27/2017,,,
1260,things never leave me,2/26/2017,,,
1261,,,,,
1262,,,,,
1263,S E L F A N O T H E R,3/1/2017,,,
1264,sensor assemblage,3/1/2017,,,
1265,,,,,
1266,,,,,
1267,how am i,5/19/2017,,,
1268,without data,5/19/2017,,,
1269,,,,,
1270,,,,,
1271,coincidence electric,2/26/2017,,,
1272,five sensors link flesh,2/26/2017,,,
1273,,,,,
1274,,,,,
1275,self a surface upon which,2/23/2017,,,
1276,item in news feed,2/27/2017,,,
1277,,,,,
1278,,,,,
1279,no self but moments of self-ing,2/27/2017,,,
1280,self-ish unfurling scroll,8/22/2016,,,
1281,,,,,
1282,,,,,
1283,i have always been this sway,8/7/2016,,,
1284,a fraction of [ this / that ] catches the light,7/13/2016,,,
1285,,,,,
1286,,,,,
1287,i a placeholder for unlikely possibility,7/13/2016,,,
1288,assembled molecules evading entropy,7/13/2016,,,
1289,,,,,
1290,,,,,
1291,what is it in everything,8/9/2016,,,
1292,that breaks,8/9/2016,,,
1293,,,,,
1294,,,,,
1295,nevertheless she,5/19/2017,,,
1296,transmitted,5/19/2017,,,
1297,,,,,
1298,,,,,
1299,age,2/28/2017,,,
1300,weight,2/28/2017,,,
1301,gender,2/28/2017,,,
1302,location,2/28/2017,,,
1303,body fat,4/30/2017,,,
1304,miles run,2/28/2017,,,
1305,heart rate,2/28/2017,,,
1306,step count,2/28/2017,,,
1307,word count,2/28/2017,,,
1308,progesterone,2/28/2017,,,
1309,current mood,2/28/2017,,,
1310,sexual activity,2/28/2017,,,
1311,blood oxygen,2/28/2017,,,
1312,blood glucose,4/30/2017,,,
1313,facebook likes,2/28/2017,,,
1314,cervical mucus,2/28/2017,,,
1315,blood pressure,2/28/2017,,,
1316,self-compassion,5/15/2017,,,
1317,uncertainty index,5/15/2017,,,
1318,basal temperature,2/28/2017,,,
1319,meditation minutes,2/28/2017,,,
1320,barometric pressure,2/28/2017,,,
1321,intolerance of ambiguity,2/28/2017,,,
1322,migraine disability assessment,2/28/2017,,,
1323,daily record of severity of problems,4/19/2017,,,
1324,[ datapoints / moments of self / certainty ],3/2/2017,,,
1325,,,,,
1326,,,,,
1327,if you discover you have already strayed,12/12/2016,,,
1328,come back to your email,12/12/2016,,,
1329,,,,,
1330,,,,,
1331,attached to the body,11/17/2015,,,
1332,of the message,11/17/2015,,,
1333,,,,,
1334,,,,,
1335,,,,,
1336,,,,,
1337,,,,,
1338,,,,,
1339,,,,,
1340,,,,,
1341,constellation of dark matter,8/7/2016,,,
1342,a nightflowering self,8/7/2016,,,
1343,,,,,
1344,,,,,
1345,how do i know i am not,7/8/2016,,,
1346,"dark matter, i am full of it",7/8/2016,,,
1347,,,,,
1348,,,,,
1349,i am [ sometimes / always /,7/8/2016,,,
1350,hardly ever ] uncertain,7/8/2016,,,
1351,,,,,
1352,,,,,
1353,U R G E N T E N D L E S S,6/22/2016,,,
1354,this is the procedure,8/23/2016,,,
1355,,,,,
1356,,,,,
